TITLE,Topic
"""Ukraine Asks Crypto Exchanges to Freeze Accounts of All Russian Users — Major Exchanges Deny Request""",War
"""Russia facing sports isolation over invasion of Ukraine - ABC News""",War
"""Over 100 gathered outside City Hall for Ukraine support rally in Kelowna, B.C.""",War
"""Over 100 gathered outside City Hall for Ukraine support rally in Kelowna, B.C.""",War
"""Over 100 gathered outside City Hall for Ukraine support rally in Kelowna, B.C.""",War
"""Ukraine says talks with Russia have reached ‘certain decisions’""",War
"""Ukraine-Russia conflict: Russian state news agency appears to accidentally publish article claiming war victory""",War
"""Volodymyr Zelensky applies for Ukraine to become member of European Union""",War
"""11th emergency UNGA session begins on Ukraine crisis: Key statements by UN chief Antonio Guterres""",War
"""The Latest: Ukraine, Russia envoys talk under shadow of nuclear threat""",War
"""Russian porn stars banned from OnlyFans amid invasion of Ukraine""",War
"""Biden to give first State of the Union address against a backdrop of high inflation and Russia's invasion of Ukraine""",War
"""Scotland skippers Andy Robertson & Rachel Corsie pen message of support to Ukraine""",War
"""Before He Was Ukraine’s President, Zelensky Was Ukraine’s Paddington""",War
"""Ukraine's motorsports federation calls for ban on Russian drivers""",War
"""Ukraine seeks to join EU as round of talks with Russia ends (World)""",War
"""Ukraine’s Oleksandr Zinchenko to return for Manchester City in FA Cup tie""",War
"""Ukraine's Eurovision entry on fighting for freedom, banning Russia and creating an anthem for their country""",War
"""Russia-Ukraine conflict: 'India worried about impact on farm sector'""",War
"""India will send humanitarian assistance to Ukraine: Ministry of External Affairs""",War
"""Russia-Ukraine ceasefire talks end – TASS""",War
"""Russia set to be expelled from World Cup over invasion of Ukraine""",War
"""Young Thug offers to help African refugees trapped in Ukraine""",War
"""Ukraine, Fossil Fuels, Bill McKibben, & You""",War
"""The war in Ukraine forces Israel into a delicate balancing act""",War
"""Irish banks waive fees on transfers to Ukraine""",War
"""Stocks fall as West ratchets up sanctions against Russia over Ukraine invasion""",War
"""Ukraine motorsport body asks FIA to ban Russian drivers""",War
"""More worried about impact on exports from Ukraine crisis: Nirmala Sitharaman""",War
"""Belarus may be about to send its troops into Ukraine, US official says""",War
"""Maksim Chmerkovskiy Says He Was Arrested in Ukraine, Is Trying to Leave""",War
"""How to talk to children about the invasion of Ukraine, and why those conversations are important""",War
"""Russian capture of Ukraine's Chernobyl nuclear plant threatens future research on radioactivity and wildlife""",War
"""Amid Ukraine crisis, new German chancellor to visit Israel on Tuesday""",War
"""No, the Tokyo Skytree wasn’t lit in colors of Ukraine for solidarity…but another landmark is""",War
"""Ukraine’s Oleksandr Zinchenko set to return for Man City against Peterborough""",War
"""Maksim Chmerkovskiy Arrested Amid Ukraine War: ‘It Was Just A Reality Check’""",War
"""OnlyFans Accounts in Russia Are Being Blocked Amid Ukraine Invasion""",War
"""Maksim Chmerkovskiy says he was arrested in Ukraine and is now trying to get out of the country""",War
"""Compare The Market removes meerkat ads from TV following invasion of Ukraine""",War
"""Ukraine crisis: Japan slaps sanctions on Belarus over Russian invasion""",War
"""State Department accuses Russia of 'widespread' human rights abuses in Ukraine as troops reportedly fire missiles at civilian areas""",War
"""BIS: Russia-Ukraine war heightens central bank challenges""",War
"""NYT’s Nikole Hannah-Jones blasts ‘racialized’ coverage of Ukraine war""",War
"""KULANG SA KONTEKSTO: Bidyo ng pahayag ni Robredo tungkol sa Russia-Ukraine krisis""",War
"""Poll result: Richmond News readers divided on how to handle the war in Ukraine""",War
"""Russian and Belarusian athletes will be barred from the Olympics and other international sporting events over the war in Ukraine""",War
"""Motor racing-Ukraine&#039;s motorsports federation calls for ban on Russian drivers""",War
"""Ukraine-Russia talks reportedly begin in Belarus""",War
"""Ukraine Maps Tell a Different Story Than Putin's Claims""",War
"""Comparethemarket pulls meerkat ads from TV news after Ukraine invasion""",War
"""The Russian invasion of Ukraine was detected earlier by Google Maps: it has forced the deactivation of real-time traffic in the country""",War
"""Eddie Hearn gives update on Anthony Joshua vs Oleksandr Usyk after champion returns to Ukraine to fight Russia""",War
"""Ukraine seeks UN investigation into alleged Russia war crimes""",War
"""Ukraine Filmmakers Unite to Send Everything From Bulletproof Vests to Power Banks to Those Documenting War (EXCLUSIVE)""",War
"""Russia, Ukraine commence negotiation as war continues""",War
"""Ukraine's motorsports federation calls for ban on Russian drivers """,War
"""Protests Are Happening In Support Of Ukraine All Over Canada & The Photos Are So Moving""",War
"""Ukraine union urges World Rugby to ban Russian teams from all competitions""",War
"""Celebrities take a moment to show support for Ukraine at the 2022 SAG Awards Red Carpet""",War
"""On Ukraine, U.N. chief says nuclear conflict ‘inconceivable’""",War
"""Motor racing-Ukraine’s motorsports federation calls for ban on Russian drivers""",War
"""Rajasthan BJP launches 24-hour helpline number for Indian students stuck in Ukraine""",War
"""SAG Awards attendees stand with Ukraine""",War
"""Ukraine seeks UN investigation into alleged Russia war crimes""",War
"""North Korea blames Ukraine crisis on ‘hegemonic high-handedness’ of U.S.""",War
"""Abramovich's Ambiguity Is at the Heart of Football's Role in the Russia-Ukraine War""",War
"""Half a million people flee Ukraine - as UK rules out visa waiver for refugees""",War
"""IOC: Russian And Belarusian Athletes Should Be Banned From All International Sports After Ukraine Invasion""",War
"""Glasgow Film Festival Pulls 2 Russian Titles After Ukraine Invasion; Locarno Film Fest Says It Will Not Boycott Russian Cinema""",War
"""Ukraine invasion: ByteDance-owned Douyin shuts down 3,500 accounts in China to stomp out provocative posts, fake information""",War
"""Queen Elizabeth postpones in-person event at Windsor amid Russia-Ukraine war""",War
"""Russia Retaliates to Flight Ban, Kharkiv Shelled: Ukraine Update""",War
"""Popovych ready to return to Ukraine to fight Russian invasion""",War
"""Sanctions against Russia over Ukraine invasion are meant to 'bring down the Putin regime,' says UK""",War
"""Google Maps has disabled live traffic data in Ukraine""",War
"""FIFA set to expel Russia from World Cup over invasion of Ukraine""",War
"""Canadian foreign minister tells UN panel Russia lied to world before Ukraine invasion""",War
"""Canadian foreign minister headed to Polish-Ukraine border, tells UN Russia lied to world""",War
"""Billionaire investor Bill Ackman implores Biden to 'set a real red line' and consider military intervention in Ukraine""",War
"""Abramovich reportedly helping Ukraine ‘achieve peaceful resolution’ with Russia - We Ain't Got No History""",War
"""Mayor of Kyiv and boxing legend Vitali Klitschko warns Russian invaders ‘go back home’ after joining Ukraine front line""",War
"""Mayor of Kyiv and boxing legend Vitali Klitschko warns Russian invaders ‘go back home’ after joining Ukraine front line""",War
"""China’s ties to Russia put it in ‘awkward’ position on Ukraine – U.S. official""",War
"""Putin Put Russian Nuclear Forces On 'Special Alert' As Ukraine Tension Escalates""",War
"""Russians rush to banks as Ruble plummets amid sanctions over war with Ukraine""",War
"""BBC Breakfast’s Dan Walker having ‘difficult’ conversations with his children about Ukraine crisis and fears""",War
"""UK’s Johnson vows more military support for Ukraine in coming hours""",War
"""Maksim Chmerkovskiy says he was arrested in Ukraine amid Russian invasion""",War
"""Man shares his ‘hellish experience’ of 20-hour-long walk from Ukraine to Poland. Viral post""",War
"""Maksim Chmerkovskiy says he was arrested in Ukraine amid Russian invasion - Page Six""",War
"""Ukraine crisis: Parents of stranded students plead for help""",War
"""India faces limited commodity price risk due to Russia-Ukraine conflict, says ICRA""",War
"""Ukraine Receives $20.9 Million in Anonymous Cryptocurrency Donations""",War
"""11 more Telangana students evacuated from Ukraine reach Delhi""",War
"""Bitdefender pledges support for countries looking to help Ukraine""",War
"""Ukraine asks Apple’s Tim Cook to bar Russia from App Store, devices""",War
"""Fact Check: Old video of French troops in Afghanistan shared as footage of Russia-Ukraine war""",War
"""Roman Abramovich ‘trying to help’ Ukraine negotiate for peace""",War
"""GOYA EUROPA TO DISTRIBUTE HUNDREDS OF THOUSANDS OF POUNDS OF FOOD TO THE PEOPLE OF UKRAINE""",War
"""Russia gets the cold shoulder at the world's biggest mobile phone show amid Ukraine war""",War
"""Ukraine war: Biden sparks Russia fury as US batters Putin's space sector""",War
"""Former Miss Ukraine Anastasiia Lenna picks up a gun and vows to defend her country: 'The invaders will die on our land!'""",War
"""Why T.N. students head to Ukraine to study medicine""",War
"""Russia blocks media outlets, others hacked over Ukraine war""",War
"""Man abandons job for 8,000-mile trip to join resistance fighters ‘pouring into Ukraine’""",War
"""What the Russia-Ukraine war means for oil-producing countries""",War
"""The chilling testimony of the partner of an Argentine soccer player after leaving Ukraine due to Russian attacks""",War
"""CGTN: Chiny wzywają Rosję i Ukrainę do rozwiązania problemu na drodze negocjacji""",War
"""How to add Ukraine pfp for TikTok and show your solidarity""",War
"""China-US relations: Beijing warned ties will worsen further unless it shifts stance on Ukraine""",War
"""“A darker cloud looms over Nikita Mazepin and his F1 future”: Automobile Federation of Ukraine requests the FIA to suspend all Russian license holders""",War
"""Boris Johnson says Vladimir Putin has made a ‘colossal mistake’ on Ukraine""",War
"""Monday, February 28.Russia’s War On Ukraine: News And Information From Ukraine""",War
"""Bulgaria's defense minister to be sacked over reluctance to describe Ukraine invasion as 'war'""",War
"""Agriculture Ministry monitoring effects of Russia-Ukraine crisis on country’s agrofood sector""",War
"""Ukraine raises over $13 million in crypto to help fight Russian invasion""",War
"""Boris Johnson urged by Tory MPs to do more for Ukraine refugees - The Guardian""",War
"""BREAKING: Russia attacks Ukraine’s former capital, kills 11 amid peace talks""",War
"""Ukraine: Russia bans airlines from 36 countries""",War
"""Ukraine crisis: Russian ballet company cancels remaining UK tour dates""",War
"""How the US Started a New Cold War with Russia and Left Ukraine to Fight It""",War
"""Racism claims at Ukraine border emerge with African students ‘stranded in war zone’""",War
"""Fleeing city near Belarus border, busloads of Ukraine Jewish orphans look to Israel""",War
"""Google disables maps tools in Ukraine used to track troops, civilians""",War
"""UAE gets more than it bargained for with war in Ukraine""",War
"""CGTN: China fordert Russland und die Ukraine auf, das Problem auf dem Verhandlungsweg zu lösen""",War
"""Stockholm Film Festival Bans Russian State-Backed Films, Stands With Ukraine""",War
"""Google, Facebook battle to stop spread of Russian anti-Ukraine disinformation with new changes""",War
"""Anthony Joshua forgets rivalry with Oleksandr Usyk and sends message of support after he joins Ukraine front line""",War
"""Anthony Joshua forgets rivalry with Oleksandr Usyk and sends message of support after he joins Ukraine front line""",War
"""AP PHOTOS: Exit out of Ukraine: escape by foot, train, car""",War
"""Ukraine is building an IT army to hack websites from Russia, report says""",War
"""‘The sound of sirens will stay with me’ – Dublin man who fled Ukraine""",War
"""Abramovich brokering for Russia-Ukraine peace""",War
"""Russia set to be expelled from World Cup over invasion of Ukraine""",War
"""Russia's invasion of Ukraine fuels a refugee crisis that could help it win the war""",War
"""Ukraine crisis: One student returns to Hassan""",War
"""Ukraine war threatens to make bread a luxury in the Middle East""",War
"""‘Robust support for Taiwan’: former top US defence officials to visit island amid Russia-Ukraine war""",War
"""Ukraine invasion: IOC recommends Russian and Belarusian athletes should be banned from all international competitions""",War
"""The Cybersecurity Implications Of The Russia-Ukraine Conflict""",War
"""Google Maps switches off live-traffic feature for Ukraine after reports it was was being used to track ground activity during Russian invasion""",War
"""Bitcoin Bucks S&P Correlation Trend With Uptick as Ukraine Crisis Escalates""",War
"""58 students from Agra, Mathura, Firozabad, Mainpuri return from Ukraine""",War
"""Fans cast Jeremy Renner as Zelensky in fantasy Ukraine invasion film: Too soon?""",War
"""Ukraine accuses Russia of killing 16 children and injuring 45 more in its invasion: 'Russia has shown what it has become'""",War
"""FA urges FIFA, UEFA to ban Russia from World Cup and Women's Euros amid Ukraine crisis - Sky Sports""",War
"""Milla Jovovich 'heartbroken' at 'horror' her birthplace Ukraine is facing""",War
"""No 10 distances itself from Truss comments on UK volunteers for Ukraine""",War
"""Theatre cancels Russian Ballet tour standing in ‘solidarity’ with Ukraine""",War
"""Viasat believes 'cyber event' is disrupting its satellite internet service in Ukraine""",War
"""Maks Chmerkovskiy gets arrested in Ukraine""",War
"""DER CEO VON PREMISE, MAURY BLACKMAN, BESTREITET KATEGORISCH, DIE UKRAINISCHEN NUTZER DER APP DES UNTERNEHMENS AUFGEFORDERT ZU HABEN, DEN RUSSEN ZU HELFEN - ER VERURTEILT DIE RUSSISCHE INVASION IN DER UKRAINE ALS „ILLEGAL UND UNGEHEUERLICH""""",War
"""""Like movies or video games"" – Cork business owner describes attempt to escape Ukraine in her car""",War
"""Hollywood pays tribute to Ukraine, President Zelenskyy amid Russian invasion during SAG Awards""",War
"""Hollywood pays tribute to Ukraine, President Zelenskyy amid Russian invasion during SAG Awards - Fox News""",War
"""Young Thug Offers Aid To African Students Stranded In Ukraine""",War
"""Chelsea owner Abramovich helping Ukraine negotiate for peace""",War
"""Cristiano Ronaldo calls for peace in Ukraine; 'We need to create a better world for our children'""",War
"""‘I haven’t told my granny’: Ukraine’s student molotov cocktail-makers""",War
"""LE PDG DE PREMISE, MAURY BLACKMAN, NIE CATÉGORIQUEMENT AVOIR DEMANDÉ AUX UTILISATEURS DE SON APPLICATION UKRAINIENNE DE FAIRE QUOI QUE CE SOIT POUR AIDER LES RUSSES - CONDAMNE L'INVASION RUSSE DE L'UKRAINE COMME ÉTANT « ILLÉGALE ET SCANDALEUSE »""",War
"""Ukraine, Canada and U.S. ‘need freedom and need to be liberated’: Rep. Lauren Boebert""",War
"""Ruble in trouble: Russian currency plummets amid Ukraine war sanctions""",War
"""Ruble in trouble: Russian currency plummets amid Ukraine war sanctions - Global News""",War
"""‘Better ways’ for Britons to help Ukraine than travelling to fight – Wallace""",War
"""Senator Chris Coons on Russia invasion of Ukraine and Biden’s Supreme Court nominee""",War
"""Guest column: NATO military intervention is required in Ukraine""",War
"""Ireland will be hit with energy price hikes & food issues due to Ukraine war and EU sanctions, Taoiseach warns""",War
"""Morale is high, we are safe, says Singaporean ex-actor Ix Shen in updates from Ukraine""",War
"""Fact Check: Did Russian defence minister advise Indians in Ukraine to display Indian flag for special protection?""",War
"""SAG Awards Winners Show Support for Ukraine and Condemn Russia""",War
"""Israeli trade with Ukraine, Russia continues but prices may jump — Economy Ministry""",War
"""Volvo suspends car shipments to Russia as sanctions over Ukraine invasion continue to bite - The Globe and Mail""",War
"""Before he was Ukraine’s president, Zelensky voiced Paddington Bear""",War
"""Ceasefire talks begin 4 days after Russia invades Ukraine""",War
"""Report: Chelsea Owner Roman Abramovich Involved in Russia-Ukraine Peace Talks""",War
"""Simon Coveney: Overwhelming global support for Ukraine against Russian invasion""",War
"""World of football unites in support of Ukraine""",War
"""Ukraine invasion: China’s global economic ambitions face turbulence over stance on Russian aggression""",War
"""Maury Blackman, dyrektor generalny firmy Premise, kategorycznie zaprzecza, jakoby zwrócił się do ukraińskich użytkowników aplikacji o podjęcie jakichkolwiek działań pomagających rosjanom - potępia on rosyjską inwazję na Ukrainę, uznając ją za „bezprawną i skandaliczną""""",War
"""Hundreds of thousands flee Putin's assault on Ukraine as temperatures drop""",War
"""Russian-British businessman Lebedev pleads with Putin to end Ukraine war""",War
"""Vatican says ready to ‘facilitate dialog’ between Russia and Ukraine""",War
"""Ukraine-Russia crisis: How can I help to support Ukrainians during the conflict?""",War
"""Russia-Ukraine War: Chelsea’s Roman Abramovich in talks for peaceful resolution""",War
"""Hundreds of thousands join Ukraine ‘IT Army’ to fight cyberwar with Russia""",War
"""Ukraine's Oleksandr Zinchenko to play in Manchester City's FA Cup fifth-round tie""",War
"""Roman Abramovich: Chelsea's Russian owner 'speaking with Ukraine' - BBC Sport""",War
"""Roman Abramovich: Chelsea's Russian owner 'speaking with Ukraine' - BBC Sport""",War
"""Growing list of companies look to exit Russia as sanctions tighten over Ukraine invasion - The Globe and Mail""",War
"""Hungary will not allow lethal weapons for Ukraine to transit its territory - FM""",War
"""Google disables Maps live traffic in Ukraine following Russian invasion""",War
"""Nikole Hannah-Jones mocked for claiming Europe 'not a continent,' calling Ukraine alarm a racial 'dog whistle'""",War
"""Lapid: Israel will support UN resolution on Ukraine, be ‘on right side of history’""",War
"""Russian-British businessman Lebedev pleads with Putin to end Ukraine war""",War
"""Mamata Banerjee Writes To PM Modi, Offers Unconditional Support Over Russia-Ukraine Conflict""",War
"""Dow set to tumble, oil spikes during Russia-Ukraine war""",War
"""Hacking group used Facebook to target prominent people in Ukraine as Russian invasion continues""",War
"""Hungary will not allow lethal weapons for Ukraine to transit its territory – FM""",War
"""MISSING CONTEXT: Territorial disputes not the root cause of Russia’s attack on Ukraine""",War
"""War in Ukraine lays bare U.S. military's lag in creating new 'monument officers'""",War
"""British events group Hyve postpones Ukraine events""",War
"""Russian news websites hacked purportedly by Anonymous amid Ukraine invasion""",War
"""PM Modi to chair high-level meeting on Ukraine situation shortly: Sources""",War
"""Ukraine conflict: Don’t be ‘unduly alarmed’ by Vladimir Putin’s nuclear threat, Britons told""",War
"""A Ransomware Crew Pledged Allegiance To Russia. Now Its Data Has Been Leaked By Pro-Ukraine Hacker""",War
"""Russia-Ukraine war: Olympic gold medallist boxer Vasiliy Lomachenko joins Ukraine Army""",War
"""DRONEDEK Drops Plans to Extend Patents to Russia to Stand in Solidarity with Ukraine""",War
"""UKRAINE WAR SPORT - Russia, Belarus suspended from international sport over Ukraine invasion""",War
"""Waiting, fearing, singing: A night sheltering in Ukraine""",War
"""Russia Ukraine War | Rahul Mahajan's wife Natalya Ilina says 'all these people are victims of politics'""",War
"""UN: 500,000+ people have fled Ukraine since Russia invaded""",War
"""The war in Ukraine will hurt Slovakia's economy""",War
"""EPAM Withdraws Q1 and Full Year 2022 Guidance due to Uncertainties Related to the Events in Ukraine""",War
"""Nuclear threat or a deterrent? Here's a look at Russia’s nuke capabilities amid Ukraine invasion""",War
"""NYC resident stuck in Ukraine as war with Russia rages: We are 'losing hope'""",War
"""Ukraine: US bans transactions with Russian central bank""",War
"""Ukraine slows Russian advance; negotiations begin""",War
"""Former Miss Ukraine Joins Military To Defend Country In Fight Against Russia""",War
"""Tesla free Supercharging extended to areas affected by Ukraine invasion""",War
"""Putin is facing stiffer opposition than expected -- both inside and outside Ukraine""",War
"""Ukraine crisis as plan to join EU energy network backfires after Nord Stream 2 cancelled""",War
"""Sheriff Tiraspol manager Yuriy Vernydub joins Ukraine front line to fight Russia five months after beating Real Madrid""",War
"""Chelsea Owner Roman Abramovich “Trying To Help” Broker Peace In Ukraine""",War
"""France’s Le Drian warns of ‘threats of atrocities’ in Ukraine""",War
"""Russian forces seize two cities in Ukraine as ceasefire talks begin""",War
"""Ukraine and Russia hold talks amid war""",War
"""Ukraine and Russia hold talks amid war""",War
"""Russian troops try to steal civilian cars in Ukraine in desperate bid to escape war""",War
"""Beyonce expresses ‘sadness’ over Black migrants stranded in Ukraine as Young Thug offers to help amid claims of racism at border""",War
"""39 Filipinos from Ukraine await safe return to PH, says DFA official""",War
"""China says US sanctions over Ukraine should not affect right to trade with Russia""",War
"""Philippines condemns ‘invasion of Ukraine’""",War
"""Bank of Ireland waives charges on money transfers to Ukraine""",War
"""Pietersen Shares Update On ""Immediate Family"" Who Have Escaped Ukraine""",War
"""Ukraine, Russia envoys talk under shadow of nuclear threat (World)""",War
"""Maksim Chmerkovskiy Says He Was Arrested in Ukraine Amid Russia Invasion""",War
"""Sorting fact, disinformation after Russian attack on Ukraine""",War
"""Chelsea owner Abramovich helping Ukraine negotiate for peace -spokeswoman""",War
"""Ukraine: Vatican ‘ready to help’ negotiations with Russia""",War
"""Ukraine may not be able to join EU immediately, says Taoiseach""",War
"""Ukraine asks Chelsea owner Abramovich ‘to help with peace talks’""",War
"""Czechs to send 50 police to help with refugees at Slovak-Ukraine border""",War
"""Ukraine wants Russians banned from motorsport, including Formula 1’s Nikita Mazepin""",War
"""Russia-Ukraine war live updates: Russia’s advance ‘slowed by Ukrainian forces:’ UK says""",War
"""Boris Johnson flies to Eastern Europe as he blasts Vladimir Putin’s ‘colossal mistake’ by invading Ukraine""",War
"""UKRAINE WAR ECONOMY - Ruble plummets as Western sanctions on Russia take effect""",War
"""India to send humanitarian relief, medicines to Kyiv on Ukraine's request - Hindustan Times""",War
"""Ukraine conflict: Russia blames Liz Truss and others for nuclear alert""",War
"""Krishnagiri administration sets up help center for families of students stranded in Ukraine""",War
"""Florida gas prices continue to rise amid Russia-Ukraine conflict""",War
"""Analysis: Signs that Putin’s invasion of Ukraine could be backfiring""",War
"""Why the idea of a 'neutral' Ukraine is a non-starter in peace talks""",War
"""Ukraine slows Russian advance under shadow of nuclear threat""",War
"""Determined Ukraine slows Russian advance under shadow of nuclear threat""",War
"""Ukraine to be Stockholm Festival’s Focus Nation in 2022; ‘Rhino’ Director Oleg Sentsov Plans on Attending""",War
"""EU to link Ukraine, Moldova to its electricity network -senior EU official""",War
"""PH backs UN resolution condemning Russia’s invasion of Ukraine""",War
"""India to send medical aid to Ukraine, nearly 1,400 Indians evacuated: MEA - India Today""",War
"""Rescue T.N. students stranded in Ukraine, CM urges Jaishankar""",War
"""WHO releases $3.5-million to deliver urgent medical supplies to Ukraine""",War
"""Heavy Fighting in Ukraine Damages Prospects for Russia Talks""",War
"""CSUN doubles tennis partners from Russia and Ukraine find support from each other""",War
"""Why Russia's Ukraine invasion threatens global trade""",War
"""Former Russian boxer Alexander Povetkin backs his country’s invasion of Ukraine to ‘fight back Nazism’""",War
"""Former Russian boxer Alexander Povetkin backs his country’s invasion of Ukraine to ‘fight back Nazism’""",War
"""Chelsea’s Abramovich ‘trying to help’ in Ukraine-Russia conflict - The Guardian""",War
"""With mobiles dead, students held up in Ukraine can’t even send SOS""",War
"""Chelsea owner Abramovich helping Ukraine negotiate for peace, says spokeswoman""",War
"""Ceasefire talks begin four days after Russian invasion of Ukraine""",War
"""The Kremlin ordered 400 Russian mercenaries in Kyiv to hunt and kill Ukraine's president, report says""",War
"""Australia news LIVE: Vladimir Putin issues nuclear alerts to Russian forces as Ukraine defends nation against invasion; floods worsen in south-east Queensland, NSW as more evacuation orders issued""",War
"""Australia news LIVE: Vladimir Putin issues nuclear alerts to Russian forces as Ukraine defends nation against invasion; floods worsen in south-east Queensland, NSW as more evacuation orders issued""",War
"""Daily Briefing Feb. 28 – Polish Jewish community is prepared for Ukraine’s refugees""",War
"""Airbnb will arrange accommodation for up to 100,000 refugees from Ukraine, CEO says""",War
"""Ex-Chelsea ace and Ukraine hero Andriy Shevchenko joins Trafalgar Square protests after Russia invasion""",War
"""Ex-Chelsea ace and Ukraine hero Andriy Shevchenko joins Trafalgar Square protests after Russia invasion""",War
"""Australia news LIVE: Vladimir Putin issues nuclear alerts to Russian forces as Ukraine defends nation against invasion; floods worsen in south-east Queensland, NSW as more evacuation orders issued - The Sydney Morning Herald""",War
"""Share evacuation plans with those stranded in Ukraine and their families, Rahul tells govt""",War
"""World's biggest crypto exchange Binance says it will not block all Russian accounts despite Ukraine request""",War
"""Ukraine and Russia start talks at Ukrainian border with Belarus""",War
"""Slovakia says it delivered air defense, anti-tank rockets to Ukraine""",War
"""Roman Abramovich ‘attending Ukraine-Russia peace talks in Belarus’ after handing Chelsea over to foundation – latest""",War
"""Bitcoin and Ether Are Helping Fund Ukraine's Resistance - CNET""",War
"""Google, Facebook, Twitter must combat Ukraine fake news – Polish, Baltic leaders""",War
"""Russian forces have yet to capture a city in Ukraine, U.S. defense official says""",War
"""Sixty Britons heading to Ukraine to fight Putin's army - 'They are being given weapons'""",War
"""Slovenia&#039;s PM Jansa supports speedier EU membership process for Ukraine""",War
"""The UN: 102 Civilians Killed, 500,000 Flee as Russia Invades Ukraine""",War
"""Big Oil Is Trying to Profit from the War in Ukraine""",War
"""UEFA 'to kick Russian side Spartak Moscow out of Europa League' over Ukraine invasion""",War
"""Russia ramps up war efforts in Ukraine as delegates arrive for talks at Belarus border""",War
"""WATCH: Ukraine mounts fierce defense against Russian forces""",War
"""Lower fees make Ukraine a hotspot for Indian medical students""",War
"""EU says 400,000 refugees from Ukraine so far, millions expected""",War
"""Ukraine and Russian officials meet for peace talks as fighting continues for fifth day""",War
"""Russia-Ukraine war: Liverpool manager Jurgen Klopp takes a dig at Vladimir Putin, says THIS""",War
"""Ukraine crisis: Russian rouble plunges 30 per cent against US dollar as Moscow markets freeze on sanctions stress""",War
"""Is the Ukraine-Russia meeting a path forward or political sideshow?""",War
"""UN: More than half a million people have fled Ukraine since Russia invaded""",War
"""Russian boxer Alexander Povetkin appears to defend Vladimir Putin’s invasion of Ukraine""",War
"""Ukraine-Russia conflict will 'significantly' affect energy costs in Singapore: Gan Kim Yong - TODAY""",War
"""Centre claims to be taking steps to repatriate those stranded in Ukraine""",War
"""How does Elon Musk’s Starlink work and could it keep Ukraine online during Russian invasion?""",War
"""How does Elon Musk’s Starlink work and could it keep Ukraine online during Russian invasion?""",War
"""FIA urged to block Russian competitors from races over Ukraine invasion | 2022 F1 season""",War
"""Roman Abramovich’s spokesperson says Chelsea owner is ‘trying to broker peace between Russia and Ukraine’""",War
"""Roman Abramovich ‘attending Ukraine-Russia peace talks in Belarus’ after handing Chelsea over to foundation – latest""",War
"""Game developers and publishers pledge financial support for Ukraine""",War
"""Green Day cancels concert plans in Russia in light of Ukraine war takeover""",War
"""Spain proposes closing ports to ‘Russian oligarchs’ over Ukraine""",War
"""FIA receive request to cancel Nikita Mazepin's licence over Russia's Ukraine invasion""",War
"""How the Russia-Ukraine war is tangled with religion""",War
"""Russia-Ukraine War: What to know as Ukraine resists advance""",War
"""Russia-Ukraine War: What to know as Ukraine resists advance""",War
"""Russia-Ukraine War: What to know as Ukraine resists advance""",War
"""Hundreds show their support for Ukraine at Saskatoon rally""",War
"""Russia-Ukraine war live updates – Moscow panic as economy FREEFALLS & Putin nuclear threat sparks crunch 24 hours""",War
"""Russia And Ukraine Begin Negotiations""",War
"""BullPerks and GamesPad Support The Peaceful Resolution Of The Russia-Ukraine Conflict""",War
"""The Morning After: Russia, Ukraine and social media""",War
"""Kremlin comments on ‘effectiveness’ of Ukraine military operation""",War
"""Facebook removes Russian misinformation network pushing fake news about the war in Ukraine""",War
"""Oxygen stocks running dangerously low in Ukraine""",War
"""Gianni Infantino should ‘hang head in shame’ after FIFA decision on Russia, as Ally McCoist insists ‘people of Ukraine deserve better’ in passionate rant""",War
"""Bill Ackman Says U.S. Should Consider Ukraine Military Intervention""",War
"""Schoolgirl shot to death by Russian saboteurs alongside mum and dad in Ukraine""",War
"""BREAKING: Russia-Ukraine Peace Talks Commence""",War
"""Fake social media accounts orchestrating misinformation amid Ukraine crisis: Meta""",War
"""Google, Facebook, Twitter must combat Ukraine fake news - Polish, Baltic leaders""",War
"""Google, Facebook, Twitter must combat Ukraine fake news - Polish, Baltic leaders""",War
"""Chelsea Owner Roman Abramovich Trying to Broker Peace Between Ukraine and Russia""",War
"""Ukraine: Fleeing Africans lament over discrimination at Polish border""",War
"""Chelsea owner Abramovich helping Ukraine negotiate for peace""",War
"""How ESG investors are responding to Russia’s invasion of Ukraine""",War
"""Ukraine invasion: Russia-Ukraine officials begin talks at Belarus border; oil prices soar""",War
"""Google Maps Temporarily Disables Live Traffic Data in Ukraine""",War
"""Moscow Exchange And Sberbank Websites Knocked Offline—Was Ukraine’s Cyber Army Responsible?""",War
"""Erode administration sets up helpline numbers for stranded Indians in Ukraine""",War
"""Scottish FA to boycott all Russia fixtures as message of support sent to Ukraine""",War
"""Czech PM supports Ukraine efforts on EU entry -CTK""",War
"""Taiwan says inappropriate to link its situation to Ukraine’s""",War
"""Ukraine: Russia doubles interest rates as rouble falls""",War
"""Ukraine: Russia doubles interest rates as ruble falls""",War
"""Ukraine updates, Day 5: Ceasefire talks begin with Russia""",War
"""Health min eases travel rules for Indians being evacuated from Ukraine""",War
"""Taiwan says inappropriate to link its situation to Ukraine’s""",War
"""Kremlin defends logic for actions in Ukraine, berates ‘hostile’ EU""",War
"""Why Israel must stand squarely with Ukraine""",War
"""Ukraine federation calls for FIA ban on Russian licence holders - Motorsport.com""",War
"""&#039;We don&#039;t know how to go back&#039; - a mother&#039;s journey across invaded Ukraine""",War
